country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Myanmar,5,1,0,0.1
Namibia,376,3,1,6.7
Nauru,49,0,8,1
Nepal,5,6,0,0.2
Netherlands,251,88,190,9.4
New Zealand,203,79,175,8.1
Nicaragua,78,118,1,3.5
Niger,3,2,1,0.1
Nigeria,42,5,2,0.9
Niue,188,200,7,7
North Korea,0,0,0,0
Norway,169,71,129,6.5
Oman,22,16,1,0.7
Pakistan,0,0,0,0
Palau,306,63,23,7
Panama,285,104,18,7.2
Papua New Guinea,44,39,1,1.5
Paraguay,213,117,74,7.2
Peru,163,160,21,6.1
Philippines,71,186,1,4.6
Poland,343,215,56,10.9
Portugal,194,67,339,10.6
Qatar,1,42,7,0.9
Romania,297,122,167,10.4
Russian Federation,247,326,73,11.5
Rwanda,43,2,0,0.8
Samoa,105,18,24,2.6
San Marino,0,0,0,0
Sao Tome & Principe,56,38,140,4.2
Saudi Arabia,0,5,0,0.1
Senegal,9,1,7,0.3
Serbia,283,131,127,9.6
Seychelles,157,25,51,4.1
Sierra Leone,25,3,2,0.5
Singapore,60,12,11,1.5
Slovakia,196,293,116,10.7
Slovenia,270,51,276,10.6
Solomon Islands,56,11,1,1.2
Somalia,0,0,0,0
South Africa,225,76,81,6.8
South Korea,140,16,9,2.9
Spain,284,157,112,9.8
Sri Lanka,16,104,0,2.1
St. Kitts & Nevis,194,205,32,7.6
St. Lucia,171,315,71,9.9
St. Vincent & the Grenadines,120,221,11,6.2
Sudan,8,13,0,0.4
Suriname,128,178,7,5.6
Swaziland,90,2,2,1.7
Sweden,152,60,186,7.1
Switzerland,185,100,280,10
Syria,5,35,16,1
Tajikistan,2,15,0,0.3
Tanzania,36,6,1,0.8
Thailand,99,258,1,6.4
Timor-Leste,1,1,4,0.1
Togo,36,2,19,1
Tonga,36,21,5,1.1
Trinidad & Tobago,197,156,7,6.4
Tunisia,51,3,20,1.3
Turkey,51,22,7,1.4
Turkmenistan,19,71,32,2.2
Tuvalu,6,41,9,1
Uganda,45,9,0,1
Ukraine,206,237,45,8.7
United Arab Emirates,16,135,5,2.8
United Kingdom,219,126,195,9.6
Uruguay,115,35,220,6.6
USA,249,158,84,8.7
Uzbekistan,25,101,8,2.4
Vanuatu,21,18,11,0.9
Venezuela,333,100,3,7.7
Vietnam,111,2,1,2
Yemen,6,0,0,0.1
Zambia,32,19,4,1
Zimbabwe,64,18,4,1.5
